Bowl,Date,Team,Money Line,Adjusted Probability,Multiplier,Bettor,Points Wagered,Potential Points,Expected Points,Actual Points,Played,Playoff,Natty,Winner,Correct Pick
Rose,1/2/23,Penn State,128,0.43,2.31,Bugs Bunny,7,16.17,7,16.17,TRUE,FALSE,FALSE,Penn State,1
Rose,1/2/23,Utah,-135,0.57,1.76,Bugs Bunny,0,0,0,0,TRUE,FALSE,FALSE,Penn State,0
Sugar,12/31/22,Kansas State,180,0.36,2.79,Bugs Bunny,0,0,0,0,TRUE,FALSE,FALSE,Alabama,0
Sugar,12/31/22,Alabama,-178,0.64,1.56,Bugs Bunny,8,12.46,8,12.46,TRUE,FALSE,FALSE,Alabama,1
Natty,1/9/23,TCU,1800,0.05,20.62,Bugs Bunny,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Ohio State,360,0.2,4.99,Bugs Bunny,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Michigan,300,0.23,4.34,Bugs Bunny,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Georgia,-130,0.52,1.92,Bugs Bunny,4,7.68,4,7.68,TRUE,TRUE,TRUE,Georgia,1
Alamo,12/29/22,Washington,200,0.33,3,Elmer Fudd,0,0,0,0,TRUE,FALSE,FALSE,Washington,0
Alamo,12/29/22,Texas,-200,0.67,1.5,Elmer Fudd,7,10.5,7,0,TRUE,FALSE,FALSE,Washington,0
Citrus,1/2/23,Purdue,260,0.27,3.73,Elmer Fudd,0,0,0,0,TRUE,FALSE,FALSE,LSU,0
Citrus,1/2/23,LSU,-312,0.73,1.37,Elmer Fudd,8,10.93,8,10.93,TRUE,FALSE,FALSE,LSU,1
Cotton,1/2/23,Tulane,114,0.45,2.21,Elmer Fudd,0,0,0,0,TRUE,FALSE,FALSE,Tulane,0
Cotton,1/2/23,USC,-130,0.55,1.83,Elmer Fudd,10,18.27,10,0,TRUE,FALSE,FALSE,Tulane,0
Fiesta,12/31/22,TCU,275,0.26,3.8,Elmer Fudd,3,11.4,3,11.4,TRUE,TRUE,FALSE,TCU,1
Fiesta,12/31/22,Michigan,-295,0.74,1.36,Elmer Fudd,0,0,0,0,TRUE,TRUE,FALSE,TCU,0
Gator,12/30/22,South Carolina,165,0.38,2.65,Elmer Fudd,2,5.31,2,0,TRUE,FALSE,FALSE,Notre Dame,0
Gator,12/30/22,Notre Dame,-166,0.62,1.6,Elmer Fudd,0,0,0,0,TRUE,FALSE,FALSE,Notre Dame,0
Orange,12/30/22,Tennessee,215,0.31,3.18,Elmer Fudd,0,0,0,0,TRUE,FALSE,FALSE,Tennessee,0
Orange,12/30/22,Clemson,-225,0.69,1.46,Elmer Fudd,4,5.83,4,0,TRUE,FALSE,FALSE,Tennessee,0
Peach,12/31/22,Ohio State,215,0.31,3.24,Elmer Fudd,0,0,0,0,TRUE,TRUE,FALSE,Georgia,0
Peach,12/31/22,Georgia,-245,0.69,1.45,Elmer Fudd,5,7.24,5,7.24,TRUE,TRUE,FALSE,Georgia,1
Rose,1/2/23,Penn State,128,0.43,2.31,Elmer Fudd,0,0,0,0,TRUE,FALSE,FALSE,Penn State,0
Rose,1/2/23,Utah,-135,0.57,1.76,Elmer Fudd,9,15.87,9,0,TRUE,FALSE,FALSE,Penn State,0
Sugar,12/31/22,Kansas State,180,0.36,2.79,Elmer Fudd,6,16.76,6,0,TRUE,FALSE,FALSE,Alabama,0
Sugar,12/31/22,Alabama,-178,0.64,1.56,Elmer Fudd,0,0,0,0,TRUE,FALSE,FALSE,Alabama,0
Natty,1/9/23,TCU,1800,0.05,20.62,Elmer Fudd,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Ohio State,360,0.2,4.99,Elmer Fudd,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Michigan,300,0.23,4.34,Elmer Fudd,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Georgia,-130,0.52,1.92,Elmer Fudd,1,1.92,1,1.92,TRUE,TRUE,TRUE,Georgia,1
Alamo,12/29/22,Washington,200,0.33,3,Daffy Duck,0,0,0,0,TRUE,FALSE,FALSE,Washington,0
Alamo,12/29/22,Texas,-200,0.67,1.5,Daffy Duck,3,4.5,3,0,TRUE,FALSE,FALSE,Washington,0
Citrus,1/2/23,Purdue,260,0.27,3.73,Daffy Duck,0,0,0,0,TRUE,FALSE,FALSE,LSU,0
Citrus,1/2/23,LSU,-312,0.73,1.37,Daffy Duck,1,1.37,1,1.37,TRUE,FALSE,FALSE,LSU,1
Cotton,1/2/23,Tulane,114,0.45,2.21,Daffy Duck,0,0,0,0,TRUE,FALSE,FALSE,Tulane,0
Cotton,1/2/23,USC,-130,0.55,1.83,Daffy Duck,2,3.65,2,0,TRUE,FALSE,FALSE,Tulane,0
Fiesta,12/31/22,TCU,275,0.26,3.8,Daffy Duck,0,0,0,0,TRUE,TRUE,FALSE,TCU,0
Fiesta,12/31/22,Michigan,-295,0.74,1.36,Daffy Duck,5,6.79,5,0,TRUE,TRUE,FALSE,TCU,0
Gator,12/30/22,South Carolina,165,0.38,2.65,Daffy Duck,6,15.92,6,0,TRUE,FALSE,FALSE,Notre Dame,0
Gator,12/30/22,Notre Dame,-166,0.62,1.6,Daffy Duck,0,0,0,0,TRUE,FALSE,FALSE,Notre Dame,0
Orange,12/30/22,Tennessee,215,0.31,3.18,Daffy Duck,0,0,0,0,TRUE,FALSE,FALSE,Tennessee,0
Orange,12/30/22,Clemson,-225,0.69,1.46,Daffy Duck,7,10.21,7,0,TRUE,FALSE,FALSE,Tennessee,0
Peach,12/31/22,Ohio State,215,0.31,3.24,Daffy Duck,0,0,0,0,TRUE,TRUE,FALSE,Georgia,0
Peach,12/31/22,Georgia,-245,0.69,1.45,Daffy Duck,10,14.47,10,14.47,TRUE,TRUE,FALSE,Georgia,1
Rose,1/2/23,Penn State,128,0.43,2.31,Daffy Duck,8,18.48,8,18.48,TRUE,FALSE,FALSE,Penn State,1
Rose,1/2/23,Utah,-135,0.57,1.76,Daffy Duck,0,0,0,0,TRUE,FALSE,FALSE,Penn State,0
Sugar,12/31/22,Kansas State,180,0.36,2.79,Daffy Duck,0,0,0,0,TRUE,FALSE,FALSE,Alabama,0
Sugar,12/31/22,Alabama,-178,0.64,1.56,Daffy Duck,9,14.02,9,14.02,TRUE,FALSE,FALSE,Alabama,1
Natty,1/9/23,TCU,1800,0.05,20.62,Daffy Duck,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Ohio State,360,0.2,4.99,Daffy Duck,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Michigan,300,0.23,4.34,Daffy Duck,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Georgia,-130,0.52,1.92,Daffy Duck,4,7.68,4,7.68,TRUE,TRUE,TRUE,Georgia,1
Alamo,12/29/22,Washington,200,0.33,3,Porky Pig,0,0,0,0,TRUE,FALSE,FALSE,Washington,0
Alamo,12/29/22,Texas,-200,0.67,1.5,Porky Pig,2,3,2,0,TRUE,FALSE,FALSE,Washington,0
Citrus,1/2/23,Purdue,260,0.27,3.73,Porky Pig,0,0,0,0,TRUE,FALSE,FALSE,LSU,0
Citrus,1/2/23,LSU,-312,0.73,1.37,Porky Pig,8,10.93,8,10.93,TRUE,FALSE,FALSE,LSU,1
Cotton,1/2/23,Tulane,114,0.45,2.21,Porky Pig,0,0,0,0,TRUE,FALSE,FALSE,Tulane,0
Cotton,1/2/23,USC,-130,0.55,1.83,Porky Pig,7,12.79,7,0,TRUE,FALSE,FALSE,Tulane,0
Fiesta,12/31/22,TCU,275,0.26,3.8,Porky Pig,0,0,0,0,TRUE,TRUE,FALSE,TCU,0
Fiesta,12/31/22,Michigan,-295,0.74,1.36,Porky Pig,5,6.79,5,0,TRUE,TRUE,FALSE,TCU,0
Gator,12/30/22,South Carolina,165,0.38,2.65,Porky Pig,3,7.96,3,0,TRUE,FALSE,FALSE,Notre Dame,0
Gator,12/30/22,Notre Dame,-166,0.62,1.6,Porky Pig,0,0,0,0,TRUE,FALSE,FALSE,Notre Dame,0
Orange,12/30/22,Tennessee,215,0.31,3.18,Porky Pig,4,12.72,4,12.72,TRUE,FALSE,FALSE,Tennessee,1
Orange,12/30/22,Clemson,-225,0.69,1.46,Porky Pig,0,0,0,0,TRUE,FALSE,FALSE,Tennessee,0
Peach,12/31/22,Ohio State,215,0.31,3.24,Porky Pig,0,0,0,0,TRUE,TRUE,FALSE,Georgia,0
Peach,12/31/22,Georgia,-245,0.69,1.45,Porky Pig,9,13.02,9,13.02,TRUE,TRUE,FALSE,Georgia,1
Rose,1/2/23,Penn State,128,0.43,2.31,Porky Pig,0,0,0,0,TRUE,FALSE,FALSE,Penn State,0
Rose,1/2/23,Utah,-135,0.57,1.76,Porky Pig,6,10.58,6,0,TRUE,FALSE,FALSE,Penn State,0
Sugar,12/31/22,Kansas State,180,0.36,2.79,Porky Pig,10,27.93,10,0,TRUE,FALSE,FALSE,Alabama,0
Sugar,12/31/22,Alabama,-178,0.64,1.56,Porky Pig,0,0,0,0,TRUE,FALSE,FALSE,Alabama,0
Natty,1/9/23,TCU,1800,0.05,20.62,Porky Pig,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Ohio State,360,0.2,4.99,Porky Pig,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Michigan,300,0.23,4.34,Porky Pig,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Georgia,-130,0.52,1.92,Porky Pig,1,1.92,1,1.92,TRUE,TRUE,TRUE,Georgia,1
Alamo,12/29/22,Washington,200,0.33,3,Foghorn Leghorn,0,0,0,0,TRUE,FALSE,FALSE,Washington,0
Alamo,12/29/22,Texas,-200,0.67,1.5,Foghorn Leghorn,8,12,8,0,TRUE,FALSE,FALSE,Washington,0
Citrus,1/2/23,Purdue,260,0.27,3.73,Foghorn Leghorn,2,7.45,2,0,TRUE,FALSE,FALSE,LSU,0
Citrus,1/2/23,LSU,-312,0.73,1.37,Foghorn Leghorn,0,0,0,0,TRUE,FALSE,FALSE,LSU,0
Cotton,1/2/23,Tulane,114,0.45,2.21,Foghorn Leghorn,0,0,0,0,TRUE,FALSE,FALSE,Tulane,0
Cotton,1/2/23,USC,-130,0.55,1.83,Foghorn Leghorn,1,1.83,1,0,TRUE,FALSE,FALSE,Tulane,0
Fiesta,12/31/22,TCU,275,0.26,3.8,Foghorn Leghorn,9,34.21,9,34.21,TRUE,TRUE,FALSE,TCU,1
Fiesta,12/31/22,Michigan,-295,0.74,1.36,Foghorn Leghorn,0,0,0,0,TRUE,TRUE,FALSE,TCU,0
Gator,12/30/22,South Carolina,165,0.38,2.65,Foghorn Leghorn,0,0,0,0,TRUE,FALSE,FALSE,Notre Dame,0
Gator,12/30/22,Notre Dame,-166,0.62,1.6,Foghorn Leghorn,7,11.23,7,11.23,TRUE,FALSE,FALSE,Notre Dame,1
Orange,12/30/22,Tennessee,215,0.31,3.18,Foghorn Leghorn,3,9.54,3,9.54,TRUE,FALSE,FALSE,Tennessee,1
Orange,12/30/22,Clemson,-225,0.69,1.46,Foghorn Leghorn,0,0,0,0,TRUE,FALSE,FALSE,Tennessee,0
Peach,12/31/22,Ohio State,215,0.31,3.24,Foghorn Leghorn,0,0,0,0,TRUE,TRUE,FALSE,Georgia,0
Peach,12/31/22,Georgia,-245,0.69,1.45,Foghorn Leghorn,6,8.68,6,8.68,TRUE,TRUE,FALSE,Georgia,1
Rose,1/2/23,Penn State,128,0.43,2.31,Foghorn Leghorn,0,0,0,0,TRUE,FALSE,FALSE,Penn State,0
Rose,1/2/23,Utah,-135,0.57,1.76,Foghorn Leghorn,4,7.05,4,0,TRUE,FALSE,FALSE,Penn State,0
Sugar,12/31/22,Kansas State,180,0.36,2.79,Foghorn Leghorn,10,27.93,10,0,TRUE,FALSE,FALSE,Alabama,0
Sugar,12/31/22,Alabama,-178,0.64,1.56,Foghorn Leghorn,0,0,0,0,TRUE,FALSE,FALSE,Alabama,0
Natty,1/9/23,TCU,1800,0.05,20.62,Foghorn Leghorn,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Ohio State,360,0.2,4.99,Foghorn Leghorn,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Michigan,300,0.23,4.34,Foghorn Leghorn,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Georgia,-130,0.52,1.92,Foghorn Leghorn,5,9.6,5,9.6,TRUE,TRUE,TRUE,Georgia,1
Alamo,12/29/22,Washington,200,0.33,3,Yosemite Sam,6,18,6,18,TRUE,FALSE,FALSE,Washington,1
Alamo,12/29/22,Texas,-200,0.67,1.5,Yosemite Sam,0,0,0,0,TRUE,FALSE,FALSE,Washington,0
Citrus,1/2/23,Purdue,260,0.27,3.73,Yosemite Sam,0,0,0,0,TRUE,FALSE,FALSE,LSU,0
Citrus,1/2/23,LSU,-312,0.73,1.37,Yosemite Sam,5,6.83,5,6.83,TRUE,FALSE,FALSE,LSU,1
Cotton,1/2/23,Tulane,114,0.45,2.21,Yosemite Sam,0,0,0,0,TRUE,FALSE,FALSE,Tulane,0
Cotton,1/2/23,USC,-130,0.55,1.83,Yosemite Sam,7,12.79,7,0,TRUE,FALSE,FALSE,Tulane,0
Fiesta,12/31/22,TCU,275,0.26,3.8,Yosemite Sam,1,3.8,1,3.8,TRUE,TRUE,FALSE,TCU,1
Fiesta,12/31/22,Michigan,-295,0.74,1.36,Yosemite Sam,0,0,0,0,TRUE,TRUE,FALSE,TCU,0
Gator,12/30/22,South Carolina,165,0.38,2.65,Yosemite Sam,2,5.31,2,0,TRUE,FALSE,FALSE,Notre Dame,0
Gator,12/30/22,Notre Dame,-166,0.62,1.6,Yosemite Sam,0,0,0,0,TRUE,FALSE,FALSE,Notre Dame,0
Orange,12/30/22,Tennessee,215,0.31,3.18,Yosemite Sam,0,0,0,0,TRUE,FALSE,FALSE,Tennessee,0
Orange,12/30/22,Clemson,-225,0.69,1.46,Yosemite Sam,4,5.83,4,0,TRUE,FALSE,FALSE,Tennessee,0
Peach,12/31/22,Ohio State,215,0.31,3.24,Yosemite Sam,0,0,0,0,TRUE,TRUE,FALSE,Georgia,0
Peach,12/31/22,Georgia,-245,0.69,1.45,Yosemite Sam,8,11.58,8,11.58,TRUE,TRUE,FALSE,Georgia,1
Rose,1/2/23,Penn State,128,0.43,2.31,Yosemite Sam,0,0,0,0,TRUE,FALSE,FALSE,Penn State,0
Rose,1/2/23,Utah,-135,0.57,1.76,Yosemite Sam,3,5.29,3,0,TRUE,FALSE,FALSE,Penn State,0
Sugar,12/31/22,Kansas State,180,0.36,2.79,Yosemite Sam,0,0,0,0,TRUE,FALSE,FALSE,Alabama,0
Sugar,12/31/22,Alabama,-178,0.64,1.56,Yosemite Sam,9,14.02,9,14.02,TRUE,FALSE,FALSE,Alabama,1
Natty,1/9/23,TCU,1800,0.05,20.62,Yosemite Sam,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Ohio State,360,0.2,4.99,Yosemite Sam,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Michigan,300,0.23,4.34,Yosemite Sam,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Georgia,-130,0.52,1.92,Yosemite Sam,10,19.2,10,19.2,TRUE,TRUE,TRUE,Georgia,1
Alamo,12/29/22,Washington,200,0.33,3,Tweety,9,27,9,27,TRUE,FALSE,FALSE,Washington,1
Alamo,12/29/22,Texas,-200,0.67,1.5,Tweety,0,0,0,0,TRUE,FALSE,FALSE,Washington,0
Citrus,1/2/23,Purdue,260,0.27,3.73,Tweety,0,0,0,0,TRUE,FALSE,FALSE,LSU,0
Citrus,1/2/23,LSU,-312,0.73,1.37,Tweety,6,8.2,6,8.2,TRUE,FALSE,FALSE,LSU,1
Cotton,1/2/23,Tulane,114,0.45,2.21,Tweety,0,0,0,0,TRUE,FALSE,FALSE,Tulane,0
Cotton,1/2/23,USC,-130,0.55,1.83,Tweety,5,9.13,5,0,TRUE,FALSE,FALSE,Tulane,0
Fiesta,12/31/22,TCU,275,0.26,3.8,Tweety,0,0,0,0,TRUE,TRUE,FALSE,TCU,0
Fiesta,12/31/22,Michigan,-295,0.74,1.36,Tweety,2,2.71,2,0,TRUE,TRUE,FALSE,TCU,0
Gator,12/30/22,South Carolina,165,0.38,2.65,Tweety,8,21.23,8,0,TRUE,FALSE,FALSE,Notre Dame,0
Gator,12/30/22,Notre Dame,-166,0.62,1.6,Tweety,0,0,0,0,TRUE,FALSE,FALSE,Notre Dame,0
Orange,12/30/22,Tennessee,215,0.31,3.18,Tweety,10,31.81,10,31.81,TRUE,FALSE,FALSE,Tennessee,1
Orange,12/30/22,Clemson,-225,0.69,1.46,Tweety,0,0,0,0,TRUE,FALSE,FALSE,Tennessee,0
Peach,12/31/22,Ohio State,215,0.31,3.24,Tweety,0,0,0,0,TRUE,TRUE,FALSE,Georgia,0
Peach,12/31/22,Georgia,-245,0.69,1.45,Tweety,1,1.45,1,1.45,TRUE,TRUE,FALSE,Georgia,1
Rose,1/2/23,Penn State,128,0.43,2.31,Tweety,0,0,0,0,TRUE,FALSE,FALSE,Penn State,0
Rose,1/2/23,Utah,-135,0.57,1.76,Tweety,7,12.34,7,0,TRUE,FALSE,FALSE,Penn State,0
Sugar,12/31/22,Kansas State,180,0.36,2.79,Tweety,0,0,0,0,TRUE,FALSE,FALSE,Alabama,0
Sugar,12/31/22,Alabama,-178,0.64,1.56,Tweety,3,4.67,3,4.67,TRUE,FALSE,FALSE,Alabama,1
Natty,1/9/23,TCU,1800,0.05,20.62,Tweety,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Ohio State,360,0.2,4.99,Tweety,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Michigan,300,0.23,4.34,Tweety,4,17.36,4,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Georgia,-130,0.52,1.92,Tweety,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Alamo,12/29/22,Washington,200,0.33,3,Sylvester,8,24,8,24,TRUE,FALSE,FALSE,Washington,1
Alamo,12/29/22,Texas,-200,0.67,1.5,Sylvester,0,0,0,0,TRUE,FALSE,FALSE,Washington,0
Citrus,1/2/23,Purdue,260,0.27,3.73,Sylvester,0,0,0,0,TRUE,FALSE,FALSE,LSU,0
Citrus,1/2/23,LSU,-312,0.73,1.37,Sylvester,1,1.37,1,1.37,TRUE,FALSE,FALSE,LSU,1
Cotton,1/2/23,Tulane,114,0.45,2.21,Sylvester,0,0,0,0,TRUE,FALSE,FALSE,Tulane,0
Cotton,1/2/23,USC,-130,0.55,1.83,Sylvester,6,10.96,6,0,TRUE,FALSE,FALSE,Tulane,0
Fiesta,12/31/22,TCU,275,0.26,3.8,Sylvester,0,0,0,0,TRUE,TRUE,FALSE,TCU,0
Fiesta,12/31/22,Michigan,-295,0.74,1.36,Sylvester,5,6.79,5,0,TRUE,TRUE,FALSE,TCU,0
Gator,12/30/22,South Carolina,165,0.38,2.65,Sylvester,10,26.54,10,0,TRUE,FALSE,FALSE,Notre Dame,0
Gator,12/30/22,Notre Dame,-166,0.62,1.6,Sylvester,0,0,0,0,TRUE,FALSE,FALSE,Notre Dame,0
Orange,12/30/22,Tennessee,215,0.31,3.18,Sylvester,9,28.63,9,28.63,TRUE,FALSE,FALSE,Tennessee,1
Orange,12/30/22,Clemson,-225,0.69,1.46,Sylvester,0,0,0,0,TRUE,FALSE,FALSE,Tennessee,0
Peach,12/31/22,Ohio State,215,0.31,3.24,Sylvester,0,0,0,0,TRUE,TRUE,FALSE,Georgia,0
Peach,12/31/22,Georgia,-245,0.69,1.45,Sylvester,2,2.89,2,2.89,TRUE,TRUE,FALSE,Georgia,1
Rose,1/2/23,Penn State,128,0.43,2.31,Sylvester,0,0,0,0,TRUE,FALSE,FALSE,Penn State,0
Rose,1/2/23,Utah,-135,0.57,1.76,Sylvester,3,5.29,3,0,TRUE,FALSE,FALSE,Penn State,0
Sugar,12/31/22,Kansas State,180,0.36,2.79,Sylvester,0,0,0,0,TRUE,FALSE,FALSE,Alabama,0
Sugar,12/31/22,Alabama,-178,0.64,1.56,Sylvester,4,6.23,4,6.23,TRUE,FALSE,FALSE,Alabama,1
Natty,1/9/23,TCU,1800,0.05,20.62,Sylvester,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Ohio State,360,0.2,4.99,Sylvester,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Michigan,300,0.23,4.34,Sylvester,7,30.39,7,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Georgia,-130,0.52,1.92,Sylvester,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Alamo,12/29/22,Washington,200,0.33,3,Speedy Gonzales,9,27,9,27,TRUE,FALSE,FALSE,Washington,1
Alamo,12/29/22,Texas,-200,0.67,1.5,Speedy Gonzales,0,0,0,0,TRUE,FALSE,FALSE,Washington,0
Citrus,1/2/23,Purdue,260,0.27,3.73,Speedy Gonzales,0,0,0,0,TRUE,FALSE,FALSE,LSU,0
Citrus,1/2/23,LSU,-312,0.73,1.37,Speedy Gonzales,2,2.73,2,2.73,TRUE,FALSE,FALSE,LSU,1
Cotton,1/2/23,Tulane,114,0.45,2.21,Speedy Gonzales,0,0,0,0,TRUE,FALSE,FALSE,Tulane,0
Cotton,1/2/23,USC,-130,0.55,1.83,Speedy Gonzales,7,12.79,7,0,TRUE,FALSE,FALSE,Tulane,0
Fiesta,12/31/22,TCU,275,0.26,3.8,Speedy Gonzales,0,0,0,0,TRUE,TRUE,FALSE,TCU,0
Fiesta,12/31/22,Michigan,-295,0.74,1.36,Speedy Gonzales,3,4.07,3,0,TRUE,TRUE,FALSE,TCU,0
Gator,12/30/22,South Carolina,165,0.38,2.65,Speedy Gonzales,8,21.23,8,0,TRUE,FALSE,FALSE,Notre Dame,0
Gator,12/30/22,Notre Dame,-166,0.62,1.6,Speedy Gonzales,0,0,0,0,TRUE,FALSE,FALSE,Notre Dame,0
Orange,12/30/22,Tennessee,215,0.31,3.18,Speedy Gonzales,10,31.81,10,31.81,TRUE,FALSE,FALSE,Tennessee,1
Orange,12/30/22,Clemson,-225,0.69,1.46,Speedy Gonzales,0,0,0,0,TRUE,FALSE,FALSE,Tennessee,0
Peach,12/31/22,Ohio State,215,0.31,3.24,Speedy Gonzales,0,0,0,0,TRUE,TRUE,FALSE,Georgia,0
Peach,12/31/22,Georgia,-245,0.69,1.45,Speedy Gonzales,4,5.79,4,5.79,TRUE,TRUE,FALSE,Georgia,1
Rose,1/2/23,Penn State,128,0.43,2.31,Speedy Gonzales,0,0,0,0,TRUE,FALSE,FALSE,Penn State,0
Rose,1/2/23,Utah,-135,0.57,1.76,Speedy Gonzales,6,10.58,6,0,TRUE,FALSE,FALSE,Penn State,0
Sugar,12/31/22,Kansas State,180,0.36,2.79,Speedy Gonzales,0,0,0,0,TRUE,FALSE,FALSE,Alabama,0
Sugar,12/31/22,Alabama,-178,0.64,1.56,Speedy Gonzales,5,7.79,5,7.79,TRUE,FALSE,FALSE,Alabama,1
Natty,1/9/23,TCU,1800,0.05,20.62,Speedy Gonzales,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Ohio State,360,0.2,4.99,Speedy Gonzales,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Michigan,300,0.23,4.34,Speedy Gonzales,0,0,0,0,TRUE,TRUE,TRUE,Georgia,0
Natty,1/9/23,Georgia,-130,0.52,1.92,Speedy Gonzales,1,1.92,1,1.92,TRUE,TRUE,TRUE,Georgia,1
Alamo,12/29/22,Washington,200,0.33,3,Marvin the Martian,0,0,0,0,TRUE,FALSE,FALSE,Washington,0
Alamo,12/29/22,Texas,-200,0.67,1.5,Marvin the Martian,7,10.5,7,0,TRUE,FALSE,FALSE,Washington,0
Citrus,1/2/23,Purdue,260,0.27,3.73,Marvin the Martian,0,0,0,0,TRUE,FALSE,FALSE,LSU,0
Citrus,1/2/23,LSU,-312,0.73,1.37,Marvin the Martian,4,5.47,4,5.47,TRUE,FALSE,FALSE,LSU,1
Cotton,1/2/23,Tulane,114,0.45,2.21,Marvin the Martian,0,0,0,0,TRUE,FALSE,FALSE,Tulane,0
Cotton,1/2/23,USC,-130,0.55,1.83,Marvin the Martian,9,16.44,9,0,TRUE,FALSE,FALSE,Tulane,0
Fiesta,12/31/22,TCU,275,0.26,3.8,Marvin the Martian,0,0,0,0,TRUE,TRUE,FALSE,TCU,0
Fiesta,12/31/22,Michigan,-295,0.74,1.36,Marvin the Martian,6,8.14,6,0,TRUE,TRUE,FALSE,TCU,0
Gator,12/30/22,South Carolina,165,0.38,2.65,Marvin the Martian,10,26.54,10,0,TRUE,FALSE,FALSE,Notre Dame,0
Gator,12/30/22,Notre Dame,-166,0.62,1.6,Marvin the Martian,0,0,0,0,TRUE,FALSE,FALSE,Notre Dame,0
Orange,12/30/22,Tennessee,215,0.31,3.18,Marvin the Martian,0,0,0,0,TRUE,FALSE,FALSE,Tennessee,0
Orange,12/30/22,Clemson,-225,0.69,1.46,Marvin the Martian,2,2.92,2,0,TRUE,FALSE,FALSE,Tennessee,0
Peach,12/31/22,Ohio State,215,0.31,3.24,Marvin the Martian,0,0,0,0,TRUE,TRUE,FALSE,Georgia,0
